"GC-F.Open","GC-F.High","GC-F.Low","GC-F.Close","GC-F.Volume","GC-F.Adjusted","Date"
2633,2663.10009765625,2633,2658.89990234375,1728,2658.89990234375,2025-01-02
2658.69995117188,2658.69995117188,2641.80004882812,2645,591,2645,2025-01-03
2645.5,2647,2617.30004882812,2638.39990234375,960,2638.39990234375,2025-01-06
2653.39990234375,2657.5,2653,2656.69995117188,643,2656.69995117188,2025-01-07
2655.5,2676.89990234375,2653.5,2664.5,999,2664.5,2025-01-08
2669.69995117188,2686.30004882812,2667.89990234375,2683.80004882812,1139,2683.80004882812,2025-01-09
2686.10009765625,2720.10009765625,2683.69995117188,2708.5,403,2708.5,2025-01-10
2711.10009765625,2711.19995117188,2673.5,2673.5,765,2673.5,2025-01-13
2673.60009765625,2688.30004882812,2670.80004882812,2677.5,794,2677.5,2025-01-14
2690.80004882812,2712.5,2690.80004882812,2712.5,930,2712.5,2025-01-15
2731.69995117188,2749.80004882812,2731.69995117188,2746.39990234375,1721,2746.39990234375,2025-01-16
2736,2751.60009765625,2725.5,2744.30004882812,1214,2744.30004882812,2025-01-17
2746,2755,2724.80004882812,2755,1439,2755,2025-01-21
2754.5,2768.80004882812,2753.5,2767.60009765625,2079,2767.60009765625,2025-01-22
2760,2765,2745.39990234375,2763.10009765625,2201,2763.10009765625,2025-01-23
2759.80004882812,2792,2759.80004882812,2777.30004882812,1593,2777.30004882812,2025-01-24
2761.10009765625,2762.19995117188,2737.5,2737.5,984,2737.5,2025-01-27
2738,2766.80004882812,2738,2766.80004882812,2307,2766.80004882812,2025-01-28
2769.10009765625,2769.10009765625,2769.10009765625,2769.10009765625,125692,2769.10009765625,2025-01-29
2772.5,2829.5,2770,2823,40141,2823,2025-01-30
2829,2838,2804,2812.5,3443,2812.5,2025-01-31
2818.19995117188,2848.39990234375,2780.89990234375,2833.89990234375,2649,2833.89990234375,2025-02-03
2827.60009765625,2853.30004882812,2816.10009765625,2853.30004882812,2187,2853.30004882812,2025-02-04
2850,2880.5,2848,2871.60009765625,4519,2871.60009765625,2025-02-05
2865.19995117188,2871.69995117188,2836.30004882812,2856,3116,2856,2025-02-06
2859.89990234375,2889.5,2857.80004882812,2867.30004882812,1822,2867.30004882812,2025-02-07
2864.19995117188,2916.10009765625,2863.80004882812,2914.30004882812,2237,2914.30004882812,2025-02-10
2925.5,2945.39990234375,2890,2912.5,2554,2912.5,2025-02-11
2902,2912.30004882812,2868.60009765625,2909,2504,2909,2025-02-12
2911.30004882812,2937.69995117188,2910.60009765625,2925.89990234375,4670,2925.89990234375,2025-02-13
2937.30004882812,2944.39990234375,2874.80004882812,2883.60009765625,1992,2883.60009765625,2025-02-14
2879.19995117188,2936.39990234375,2873.80004882812,2931.60009765625,4010,2931.60009765625,2025-02-18
2938.69995117188,2946,2917.10009765625,2919.39990234375,2630,2919.39990234375,2025-02-19
2949.10009765625,2955.80004882812,2924.19995117188,2940,656,2940,2025-02-20
2938.80004882812,2940,2917.30004882812,2937.60009765625,570,2937.60009765625,2025-02-21
2933.10009765625,2957.89990234375,2933.10009765625,2947.89990234375,415,2947.89990234375,2025-02-24
2938.69995117188,2943.19995117188,2890,2904.5,1854,2904.5,2025-02-25
2913.5,2917,2913,2916.80004882812,2050,2916.80004882812,2025-02-26
2918.5,2922.80004882812,2870.39990234375,2883.19995117188,3215,2883.19995117188,2025-02-27
2877.10009765625,2877.10009765625,2834.10009765625,2836.80004882812,990,2836.80004882812,2025-02-28
2872.69995117188,2891.80004882812,2863.39990234375,2890.19995117188,423,2890.19995117188,2025-03-03
2886.10009765625,2927.89990234375,2886.10009765625,2909.60009765625,885,2909.60009765625,2025-03-04
2916.69995117188,2922,2893,2915.30004882812,551,2915.30004882812,2025-03-05
2904,2918.60009765625,2903.80004882812,2916.60009765625,870,2916.60009765625,2025-03-06
2900.89990234375,2927.30004882812,2900.5,2904.69995117188,531,2904.69995117188,2025-03-07
2910.10009765625,2915.10009765625,2880.19995117188,2891,55,2891,2025-03-10
2884.39990234375,2916.69995117188,2880.39990234375,2912.89990234375,197,2912.89990234375,2025-03-11
2912,2939.10009765625,2910,2939.10009765625,213,2939.10009765625,2025-03-12
2937.10009765625,2988,2935.19995117188,2984.30004882812,2366,2984.30004882812,2025-03-13
2994.39990234375,3004.80004882812,2986,2994.5,1800,2994.5,2025-03-14
2991,3001.5,2989,3000,214,3000,2025-03-17
3006.39990234375,3039.19995117188,3004.39990234375,3035.10009765625,428,3035.10009765625,2025-03-18
3035.19995117188,3050.89990234375,3030.89990234375,3035.89990234375,175,3035.89990234375,2025-03-19
3047.30004882812,3047.30004882812,3034.39990234375,3040,185,3040,2025-03-20
3034.5,3037.5,3000.89990234375,3018.19995117188,151,3018.19995117188,2025-03-21
3024.30004882812,3024.30004882812,3006,3013.10009765625,137,3013.10009765625,2025-03-24
3026.39990234375,3028.80004882812,3023.69995117188,3023.69995117188,74,3023.69995117188,2025-03-25
3033.19995117188,3033.19995117188,3019.5,3020.89990234375,83,3020.89990234375,2025-03-26
3025.5,3065,3025.5,3060.19995117188,124359,3060.19995117188,2025-03-27
3069.69995117188,3094.89990234375,3066.80004882812,3086.5,31206,3086.5,2025-03-28
3091,3132.5,3086,3122.80004882812,3438,3122.80004882812,2025-03-31
3129.69995117188,3149.5,3104,3118.89990234375,1721,3118.89990234375,2025-04-01
3120.69995117188,3168.60009765625,3117.39990234375,3139.89990234375,5946,3139.89990234375,2025-04-02
3150,3166.89990234375,3052,3097,5516,3097,2025-04-03
3110.5,3127.69995117188,3011,3012,3247,3012,2025-04-04
3016.39990234375,3050.80004882812,2949.69995117188,2951.30004882812,4424,2951.30004882812,2025-04-07
2994,3014.5,2968.39990234375,2968.39990234375,3213,2968.39990234375,2025-04-08
2965.80004882812,3090.39990234375,2965.80004882812,3056.5,2175,3056.5,2025-04-09
3073.89990234375,3167,3072.10009765625,3155.19995117188,3456,3155.19995117188,2025-04-10
3182.10009765625,3235,3182.10009765625,3222.19995117188,862,3222.19995117188,2025-04-11
3215.5,3228.80004882812,3194.5,3204.80004882812,263,3204.80004882812,2025-04-14
3216,3218.69995117188,3214,3218.69995117188,390,3218.69995117188,2025-04-15
3238.30004882812,3334.89990234375,3238.30004882812,3326.60009765625,1874,3326.60009765625,2025-04-16
3345,3345,3287.80004882812,3308.69995117188,824,3308.69995117188,2025-04-17
3342.19995117188,3418.5,3342.19995117188,3406.19995117188,78,3406.19995117188,2025-04-21
3422.19995117188,3485.60009765625,3361.69995117188,3400.80004882812,785,3400.80004882812,2025-04-22
3321.19995117188,3370.30004882812,3256.19995117188,3276.30004882812,331,3276.30004882812,2025-04-23
3305.39990234375,3353.89990234375,3304.89990234375,3332,560,3332,2025-04-24
3355.5,3355.5,3266.10009765625,3282.39990234375,162,3282.39990234375,2025-04-25
3284.5,3332.5,3284.5,3332.5,1300,3332.5,2025-04-28
3340,3340,3299.89990234375,3318.80004882812,1278,3318.80004882812,2025-04-29
3318.69995117188,3318.69995117188,3268,3305,207,3305,2025-04-30
3272.89990234375,3275,3198.60009765625,3210,2131,3210,2025-05-01
3239.89990234375,3257,3225,3231.89990234375,1349,3231.89990234375,2025-05-02
3242.69995117188,3315.69995117188,3239.69995117188,3311.30004882812,244,3311.30004882812,2025-05-05
3365.5,3430.89990234375,3356.80004882812,3411.39990234375,2357,3411.39990234375,2025-05-06
3418.69995117188,3418.69995117188,3364.69995117188,3381.39990234375,1080,3381.39990234375,2025-05-07
3390,3390,3288.69995117188,3296.60009765625,200,3296.60009765625,2025-05-08
3299,3335.5,3299,3335.39990234375,216,3335.39990234375,2025-05-09
3300.69995117188,3300.69995117188,3205,3220,886,3220,2025-05-12
3232,3251.39990234375,3223.5,3240.30004882812,2424,3240.30004882812,2025-05-13
3233,3233,3171.69995117188,3181.39990234375,3518,3181.39990234375,2025-05-14
3151,3228.10009765625,3125,3220.69995117188,652,3220.69995117188,2025-05-15
3227.69995117188,3228.10009765625,3173.89990234375,3182,199,3182,2025-05-16
3234.39990234375,3241,3228.30004882812,3228.89990234375,266,3228.89990234375,2025-05-19
3219,3293.19995117188,3207.5,3280.30004882812,356,3280.30004882812,2025-05-20
3293.39990234375,3317.5,3290.19995117188,3309.30004882812,979,3309.30004882812,2025-05-21
3327.30004882812,3328,3282.69995117188,3292.30004882812,1210,3292.30004882812,2025-05-22
3328,3363.60009765625,3323.5,3363.60009765625,47,3363.60009765625,2025-05-23
NA,NA,NA,NA,NA,NA,2025-05-26
3332.5,3341,3296.30004882812,3299.10009765625,189,3299.10009765625,2025-05-27
3293.60009765625,3293.60009765625,3293.60009765625,3293.60009765625,127758,3293.60009765625,2025-05-28
3283.69995117188,3328.80004882812,3242.39990234375,3317.10009765625,24370,3317.10009765625,2025-05-29
3315.10009765625,3318,3270.89990234375,3288.89990234375,2213,3288.89990234375,2025-05-30
3296.89990234375,3380.80004882812,3296.89990234375,3370.60009765625,976,3370.60009765625,2025-06-02
3385.10009765625,3390,3331.30004882812,3350.19995117188,6410,3350.19995117188,2025-06-03
3355,3380,3344,3373.5,207,3373.5,2025-06-04
3371.5,3400,3343.69995117188,3350.69995117188,731,3350.69995117188,2025-06-05
3364.30004882812,3364.30004882812,3306,3322.69995117188,81,3322.69995117188,2025-06-06
3315.60009765625,3334.60009765625,3290,3332.10009765625,1887,3332.10009765625,2025-06-09
3302,3344.30004882812,3302,3320.89990234375,65,3320.89990234375,2025-06-10
3328,3356,3321.30004882812,3321.30004882812,2106,3321.30004882812,2025-06-11
3363,3395.89990234375,3353.39990234375,3380.89990234375,1818,3380.89990234375,2025-06-12
3407.30004882812,3444,3407.30004882812,3431.19995117188,499,3431.19995117188,2025-06-13
3442,3442,3385.39990234375,3396.39990234375,480,3396.39990234375,2025-06-16
3398.30004882812,3398.30004882812,3376.10009765625,3386.60009765625,1477,3386.60009765625,2025-06-17
3385.30004882812,3391.89990234375,3365.10009765625,3389.80004882812,0,3389.80004882812,2025-06-18
NA,NA,NA,NA,NA,NA,2025-06-19
3350,3372.89990234375,3341,3368.10009765625,709,3368.10009765625,2025-06-20
3365.89990234375,3387.89990234375,3350,3377.69995117188,30,3377.69995117188,2025-06-23
3358,3358,3301,3317.39990234375,538,3317.39990234375,2025-06-24
3321.60009765625,3331.19995117188,3310.60009765625,3327.10009765625,373,3327.10009765625,2025-06-25
3332.39990234375,3333.5,3332.39990234375,3333.5,2058,3333.5,2025-06-26
3318.69995117188,3318.69995117188,3253.80004882812,3273.69995117188,284,3273.69995117188,2025-06-27
3265.89990234375,3306.89990234375,3262,3294.39990234375,1242,3294.39990234375,2025-06-30
3310.10009765625,3354.10009765625,3310.10009765625,3336.69995117188,371,3336.69995117188,2025-07-01
3329,3357.5,3329,3348,39,3348,2025-07-02
3362,3362,3322.30004882812,3331.60009765625,0,3331.60009765625,2025-07-03
3342,3342,3332.5,3332.5,0,3332.5,2025-07-04
3305.5,3333.30004882812,3299.19995117188,3332.19995117188,254,3332.19995117188,2025-07-07
3330.39990234375,3334.5,3287.60009765625,3307,909,3307,2025-07-08
3289.39990234375,3314,3282,3311.60009765625,114,3311.60009765625,2025-07-09
3323.60009765625,3330.5,3311.60009765625,3317.39990234375,209,3317.39990234375,2025-07-10
3330.5,3370,3330.5,3356,776,3356,2025-07-11
3367,3375.5,3350,3351.5,583,3351.5,2025-07-14
3341,3341,3329.80004882812,3329.80004882812,210,3329.80004882812,2025-07-15
3341.19995117188,3352.89990234375,3329.5,3352.5,10,3352.5,2025-07-16
3313.80004882812,3340.80004882812,3313.80004882812,3340.10009765625,667,3340.10009765625,2025-07-17
3338.19995117188,3353,3338.19995117188,3353,602,3353,2025-07-18
3350.30004882812,3411.69995117188,3350.30004882812,3401.89990234375,53,3401.89990234375,2025-07-21
3411,3441,3395.60009765625,3439.19995117188,39,3439.19995117188,2025-07-22
3430.30004882812,3433.89990234375,3388.10009765625,3394.10009765625,63,3394.10009765625,2025-07-23
3367,3371,3367,3371,1175,3371,2025-07-24
3344,3345,3326.5,3334,67,3334,2025-07-25
3326.60009765625,3326.80004882812,3309.10009765625,3309.10009765625,533,3309.10009765625,2025-07-28
3323.39990234375,3323.39990234375,3323.39990234375,3323.39990234375,113144,3323.39990234375,2025-07-29
3325.80004882812,3331.80004882812,3263.89990234375,3295.80004882812,19252,3295.80004882812,2025-07-30
3272.89990234375,3312,3272.89990234375,3293.19995117188,3704,3293.19995117188,2025-07-31
3286.19995117188,3360.60009765625,3281,3347.69995117188,3420,3347.69995117188,2025-08-01
3367.60009765625,3386.5,3347.39990234375,3374.39990234375,351,3374.39990234375,2025-08-04
3378.5,3387.19995117188,3351.19995117188,3381.89990234375,915,3381.89990234375,2025-08-05
3380.69995117188,3383.30004882812,3361.30004882812,3380,1492,3380,2025-08-06
3384.89990234375,3422.89990234375,3384.89990234375,3400.30004882812,5464,3400.30004882812,2025-08-07
3438.80004882812,3477,3402.5,3439.10009765625,7657,3439.10009765625,2025-08-08
3383.89990234375,3383.89990234375,3349.19995117188,3353.10009765625,1488,3353.10009765625,2025-08-11
3356.19995117188,3356.19995117188,3330.10009765625,3348.89990234375,1611,3348.89990234375,2025-08-12
3358.80004882812,3363.39990234375,3358.69995117188,3358.69995117188,1011,3358.69995117188,2025-08-13
3346.80004882812,3356,3328.89990234375,3335.19995117188,592,3335.19995117188,2025-08-14
3346.80004882812,3346.80004882812,3335.89990234375,3336,1185,3336,2025-08-15
3333.5,3347.80004882812,3331.69995117188,3331.69995117188,646,3331.69995117188,2025-08-18
3330.19995117188,3343.5,3313.39990234375,3313.39990234375,1655,3313.39990234375,2025-08-19
3310.60009765625,3343.5,3310.10009765625,3343.39990234375,1213,3343.39990234375,2025-08-20
3349.39990234375,3349.39990234375,3326.5,3336.89990234375,142,3336.89990234375,2025-08-21
3349.39990234375,3377.69995117188,3349.39990234375,3374.39990234375,1240,3374.39990234375,2025-08-22
3366,3378,3366,3373.80004882812,1044,3373.80004882812,2025-08-25
3378.89990234375,3396.5,3371.10009765625,3388.60009765625,905,3388.60009765625,2025-08-26
3397,3404.60009765625,3382,3404.60009765625,3222,3404.60009765625,2025-08-27
3409,3434.60009765625,3400,3431.80004882812,1035,3431.80004882812,2025-08-28
3432.5,3475.60009765625,3426.60009765625,3473.69995117188,0,3473.69995117188,2025-08-29
3485.69995117188,3559.19995117188,3485.69995117188,3549.39990234375,658,3549.39990234375,2025-09-02
3554.80004882812,3593.69995117188,3553.19995117188,3593.19995117188,72,3593.19995117188,2025-09-03
3549.89990234375,3573.60009765625,3549.89990234375,3565.80004882812,237,3565.80004882812,2025-09-04
3567.80004882812,3613.19995117188,3567.80004882812,3613.19995117188,925,3613.19995117188,2025-09-05
3594.5,3641,3590,3638.10009765625,97,3638.10009765625,2025-09-08
3647.10009765625,3670.39990234375,3627.80004882812,3643.30004882812,535,3643.30004882812,2025-09-09
3625,3655.39990234375,3620.80004882812,3643.60009765625,136,3643.60009765625,2025-09-10
3632.89990234375,3636.89990234375,3618.39990234375,3636.89990234375,307,3636.89990234375,2025-09-11
3655.5,3656.80004882812,3643,3649.39990234375,1300,3649.39990234375,2025-09-12
3640,3686.39990234375,3635.10009765625,3682.19995117188,210,3682.19995117188,2025-09-15
3681.39990234375,3698.60009765625,3681.39990234375,3688.89990234375,373,3688.89990234375,2025-09-16
3669,3685.19995117188,3661.60009765625,3681.80004882812,183,3681.80004882812,2025-09-17
3654.60009765625,3667.39990234375,3637,3643.69995117188,80,3643.69995117188,2025-09-18
3659,3685.89990234375,3658.19995117188,3671.5,211,3671.5,2025-09-19
3688.19995117188,3748.19995117188,3688,3740.69995117188,410,3740.69995117188,2025-09-22
3747,3786,3740,3780.60009765625,627,3780.60009765625,2025-09-23
3769.80004882812,3772.5,3732.10009765625,3732.10009765625,588,3732.10009765625,2025-09-24
3742.80004882812,3756,3724.69995117188,3736.89990234375,1899,3736.89990234375,2025-09-25
3775.30004882812,3775.30004882812,3775.30004882812,3775.30004882812,19308,3775.30004882812,2025-09-26
3754.80004882812,3827.60009765625,3754.80004882812,3820.89990234375,8860,3820.89990234375,2025-09-29
3827.5,3865.5,3793.39990234375,3840.80004882812,1611,3840.80004882812,2025-09-30
3863.5,3891.89990234375,3853.30004882812,3867.5,1778,3867.5,2025-10-01
3856.19995117188,3888.60009765625,3823.69995117188,3839.69995117188,3418,3839.69995117188,2025-10-02
3855.19995117188,3886.80004882812,3853.69995117188,3880.80004882812,392,3880.80004882812,2025-10-03
3931.30004882812,3960,3926.80004882812,3948.5,1267,3948.5,2025-10-06
3959.39990234375,3981.5,3940,3976.60009765625,2903,3976.60009765625,2025-10-07
3987.19995117188,4049.19995117188,3987.19995117188,4043.30004882812,2179,4043.30004882812,2025-10-08
4011.19995117188,4046.19995117188,3940,3946.30004882812,3130,3946.30004882812,2025-10-09
3957,4012,3945.5,3975.89990234375,3130,3975.89990234375,2025-10-10
