"UPC.Open","UPC.High","UPC.Low","UPC.Close","UPC.Volume","UPC.Adjusted","Date"
18936,20588.400390625,15624,17100,571,17100,2021-03-23
16200,17064,15012,15012,49,15012,2021-03-24
15120,15120,13500,14580,33,14580,2021-03-25
14760,16020,14580,14616,34,14616,2021-03-26
37800,43164,18576,20196,13626,20196,2021-03-29
17856,17856,14796,15732,623,15732,2021-03-30
15480,15516,14220,14436,273,14436,2021-03-31
19224,25992,18252,18900,21098,18900,2021-04-01
19886.400390625,20340,18864,20340,589,20340,2021-04-05
20052,20160,18360,18648,327,18648,2021-04-06
18432,19728,16560,18360,318,18360,2021-04-07
17280,17820,16920,17244,75,17244,2021-04-08
16632,17280,16416,16704,81,16704,2021-04-09
16380,16416,14724,15192,97,15192,2021-04-12
14868,14976,14436,14724,71,14724,2021-04-13
14544,15012,13932,14112,82,14112,2021-04-14
14148,14184,12600,13032,103,13032,2021-04-15
12852,14202,12852,13932,78,13932,2021-04-16
14076,14148,12618,12780,69,12780,2021-04-19
12744,13140,12240,12384,76,12384,2021-04-20
12240,13068,12240,12960,62,12960,2021-04-21
12780,13068,12445.2001953125,12780,56,12780,2021-04-22
12636,13068,12456,12600,47,12600,2021-04-23
12780,13464,12600,13428,54,13428,2021-04-26
13284,13392,12744,12960,54,12960,2021-04-27
12888,14004,12888,13500,69,13500,2021-04-28
13572,13824,12960,13356,56,13356,2021-04-29
12996,13428,12996,13248,25,13248,2021-04-30
13176,13176,12330,12672,63,12672,2021-05-03
12528,12672,12312,12564,39,12564,2021-05-04
12420,12531.599609375,12240,12348,28,12348,2021-05-05
12240,12258,11124,11484,46,11484,2021-05-06
11340,11880,11232,11484,35,11484,2021-05-07
11304,11700,10872,11016,19,11016,2021-05-10
11160,12078,10908,11880,53,11880,2021-05-11
11988,12528,11592,11628,46,11628,2021-05-12
11556,12240,10836,11124,71,11124,2021-05-13
10872,11772,10854,11664,62,11664,2021-05-14
11628,11840.400390625,11304,11484,27,11484,2021-05-17
11304,11916,11196,11484,65,11484,2021-05-18
11232,11556,11214,11556,11,11556,2021-05-19
11304,11880,11304,11880,16,11880,2021-05-20
11808,12024,11592,11772,12,11772,2021-05-21
11556,12024,11556,11844,9,11844,2021-05-24
11700,11844,11340,11592,21,11592,2021-05-25
12420,12420,11520,11880,32,11880,2021-05-26
11736,12204,11592,11880,28,11880,2021-05-27
11808,11952,11340,11556,20,11556,2021-05-28
11484,11628,11268,11520,17,11520,2021-06-01
11430,11592,11160,11340,22,11340,2021-06-02
11304,11304,10728,11160,37,11160,2021-06-03
11052,11124,10332,10728,59,10728,2021-06-04
10800,11412,10800,11052,38,11052,2021-06-07
11088,11196,10800,11160,16,11160,2021-06-08
11340,11340,10728,10836,44,10836,2021-06-09
10908,10944,10512,10620,32,10620,2021-06-10
10656,10836,10476,10692,14,10692,2021-06-11
10656,11196,10656,11124,26,11124,2021-06-14
11055.599609375,12225.599609375,11016,11664,101,11664,2021-06-15
11592,11592,11052,11160,33,11160,2021-06-16
11232,11437.2001953125,10872,10944,19,10944,2021-06-17
10944,10980,10692,10836,15,10836,2021-06-18
10692,10875.599609375,10656,10692,11,10692,2021-06-21
10836,10980,10584,10893.599609375,16,10893.599609375,2021-06-22
10944,11160,10728,10926,14,10926,2021-06-23
11124,11448,10872,10908,36,10908,2021-06-24
10908,11124,10836,10980,17,10980,2021-06-25
10980,11037.599609375,10512,10548,298,10548,2021-06-28
11664,13608,11340,13320,555,13320,2021-06-29
12636,12819.599609375,11160,11412,129,11412,2021-06-30
11556,11844,11268,11376,36,11376,2021-07-01
11484,11988,11196,11376,74,11376,2021-07-02
11268,11520,10764,10800,69,10800,2021-07-06
10908,11484,10440,10548,43,10548,2021-07-07
10908,10908,10332,10584,54,10584,2021-07-08
10584,10728,10335.599609375,10620,22,10620,2021-07-09
10944,10962,10440,10548,18,10548,2021-07-12
10620,10764,10152,10332,19,10332,2021-07-13
10368,10368,9828,9900,20,9900,2021-07-14
10123.2001953125,10512,9648,9828,16,9828,2021-07-15
9972,9972,9720,9828,10,9828,2021-07-16
9504,9720,9072,9360,20,9360,2021-07-19
9288,9612,9100.7998046875,9540,29,9540,2021-07-20
9576,9648,9432,9540,6,9540,2021-07-21
9432,14796,9360,13788,3611,13788,2021-07-22
16200,18000,10080,10944,3379,10944,2021-07-23
9936,10296,9540,10044,237,10044,2021-07-26
9684,9756,8856,9252,109,9252,2021-07-27
9000,9360,8352,8640,167,8640,2021-07-28
8820,8928,8496,8748,90,8748,2021-07-29
8496,8780.400390625,8424,8532,52,8532,2021-07-30
9108,9504,8784,9324,138,9324,2021-08-02
9144,9324,8604,8604,54,8604,2021-08-03
8820,10944,8604,9720,623,9720,2021-08-04
9396,10368,9223.2001953125,9432,107,9432,2021-08-05
9468,9900,9360,9576,84,9576,2021-08-06
9432,10008,9432,9504,56,9504,2021-08-09
9504,9666,9180,9468,29,9468,2021-08-10
9432,9547.2001953125,8928,9108,55,9108,2021-08-11
9000,9144,8794.7998046875,9072,19,9072,2021-08-12
8964,9014.400390625,8676,8748,22,8748,2021-08-13
8748,8776.7998046875,8416.7998046875,8640,47,8640,2021-08-16
8640,8640,8208,8427.599609375,42,8427.599609375,2021-08-17
8424,8928,8172,8712,128,8712,2021-08-18
8748,8928,8460,8640,29,8640,2021-08-19
8712,9216,8208,8316,243,8316,2021-08-20
8388,8712,8280,8424,72,8424,2021-08-23
8496,8848.7998046875,8388,8532,78,8532,2021-08-24
8568,9684,8460,9000,455,9000,2021-08-25
8820,8928,8352,8424,81,8424,2021-08-26
8460,8820,8280,8532,79,8532,2021-08-27
8568,8748,8416.7998046875,8532,38,8532,2021-08-30
8496,8676,8208,8352,79,8352,2021-08-31
8424,8784,8280,8640,53,8640,2021-09-01
8568,8676,8316,8316,40,8316,2021-09-02
8496,8568,8208,8424,58,8424,2021-09-03
8424,8604,8244,8388,59,8388,2021-09-07
8352,8640,8280,8604,44,8604,2021-09-08
8460,8568,8064,8244,59,8244,2021-09-09
8280,9972,8172,9000,622,9000,2021-09-10
8676,9144,8496,8640,138,8640,2021-09-13
8640,8748,8136,8244,136,8244,2021-09-14
8316,8568,8208,8460,13,8460,2021-09-15
8388,8550,8028,8172,24,8172,2021-09-16
8208,8964,8028,8352,107,8352,2021-09-17
8172,8532,8172,8424,12,8424,2021-09-20
8240.400390625,8391.599609375,8172,8244,16,8244,2021-09-21
8179.2001953125,8604,8100,8532,47,8532,2021-09-22
8496,8604,8244,8532,34,8532,2021-09-23
8316,8532,8316,8424,16,8424,2021-09-24
8424,8928,8316,8856,77,8856,2021-09-27
8712,9612,8532,9324,110,9324,2021-09-28
8856,9180,8316,8496,78,8496,2021-09-29
8748,9036,8532,8892,49,8892,2021-09-30
8712,9144,8568,8820,55,8820,2021-10-01
8964,9180,8568,9108,78,9108,2021-10-04
8928,9072,8568,8784,37,8784,2021-10-05
8676,8820,8532,8820,14,8820,2021-10-06
8784,8784,8352,8496,64,8496,2021-10-07
8568,8928,8532,8820,28,8820,2021-10-08
8820,8820,8388,8496,18,8496,2021-10-11
8514,8676,8388,8424,8,8424,2021-10-12
8640,8676,8424,8424,12,8424,2021-10-13
8460,8604,8316,8388,14,8388,2021-10-14
8388,8460,8280,8316,11,8316,2021-10-15
8316,8406,8100,8208,24,8208,2021-10-18
8208,8496,8100,8460,35,8460,2021-10-19
8388,8892,8244,8532,60,8532,2021-10-20
8506.7998046875,8568,8280,8424,20,8424,2021-10-21
8352,8424,8139.60009765625,8280,18,8280,2021-10-22
8316,8424,8208,8388,7,8388,2021-10-25
8316,8604,8172,8460,35,8460,2021-10-26
8172,8460,8172,8244,28,8244,2021-10-27
8172,8496,8172,8280,22,8280,2021-10-28
8352,8388,7956,8172,34,8172,2021-10-29
8208,8388,8197.2001953125,8316,48,8316,2021-11-01
8424,8784,8280,8568,127,8568,2021-11-02
8568,9000,8424,8640,112,8640,2021-11-03
8748,8748,8352,8604,19,8604,2021-11-04
8604,8712,8280,8460,16,8460,2021-11-05
8496,8604,8316,8460,14,8460,2021-11-08
8424,8460,8100,8388,82,8388,2021-11-09
8280,8424,8280,8388,7,8388,2021-11-10
8352,8604,8316,8460,20,8460,2021-11-11
8388,8424,8244,8424,17,8424,2021-11-12
8316,8424,8280,8352,16,8352,2021-11-15
8316,8424,8280,8388,27,8388,2021-11-16
8388,8604,8280,8424,49,8424,2021-11-17
8334,8406,8172,8388,61,8388,2021-11-18
8280,8388,8280,8388,19,8388,2021-11-19
8352,8460,8244,8424,90,8424,2021-11-22
8424,8964,8316,8352,48,8352,2021-11-23
8316,8604,8208,8208,34,8208,2021-11-24
8208,8352,8172,8244,5,8244,2021-11-26
8208,8424,8172,8244,35,8244,2021-11-29
8244,8244,7560,7776,42,7776,2021-11-30
7740,7920,7632,7740,24,7740,2021-12-01
7704,7704,6444,6768,50,6768,2021-12-02
6771.60009765625,6804,5580,5940,33,5940,2021-12-03
5652,6408,5220,6300,85,6300,2021-12-06
6228,6552,6156,6372,13,6372,2021-12-07
6372,7128,6372,6768,17,6768,2021-12-08
6552,6984,6480,6624,18,6624,2021-12-09
6552,6552,6192,6408,12,6408,2021-12-10
6444,6786,6264,6372,4,6372,2021-12-13
6480,6732,6264,6264,10,6264,2021-12-14
6264,6336,5850,6264,5,6264,2021-12-15
6368.39990234375,6368.39990234375,6012,6120,6,6120,2021-12-16
5940,6228,5659.2001953125,5976,6,5976,2021-12-17
5940,6048,5652,6012,12,6012,2021-12-20
5940,6336,5940,6048,8,6048,2021-12-21
6120,6300,6048,6048,4,6048,2021-12-22
5940,6192,5688,5940,16,5940,2021-12-23
5868,6040.7998046875,5724,5976,5,5976,2021-12-27
5868,6120,5670,6012,12,6012,2021-12-28
5796,6048,5580,5760,26,5760,2021-12-29
5875.2001953125,5940,5580,5760,15,5760,2021-12-30
5580,6048,5580,5886,26,5886,2021-12-31
5976,6408,5976,6408,23,6408,2022-01-03
6336,6336,5976,6048,7,6048,2022-01-04
6109.2001953125,6120,5652,5652,11,5652,2022-01-05
5760,5760,5580,5688,3,5688,2022-01-06
5785.2001953125,5796,5497.2001953125,5760,5,5760,2022-01-07
5767.2001953125,5832,5508,5580,14,5580,2022-01-10
5688,6012,5652,5796,14,5796,2022-01-11
5929.2001953125,6408,5929.2001953125,6156,9,6156,2022-01-12
6156,6228,5803.2001953125,5904,3,5904,2022-01-13
5940,6048,5749.2001953125,5868,8,5868,2022-01-14
5724,5976,5580,5940,5,5940,2022-01-18
5796,6120,5796,5868,3,5868,2022-01-19
5832,6336,5832,6120,24,6120,2022-01-20
6102,6120,5508,5616,12,5616,2022-01-21
5724,5724,4500,4896,16,4896,2022-01-24
5025.60009765625,5317.2001953125,4932,5220,2,5220,2022-01-25
5220,5328,4838.39990234375,4968,2,4968,2022-01-26
5256,5256,5004,5076,2,5076,2022-01-27
5076,5220,4932,4932,3,4932,2022-01-28
5112,5220,4572,5040,11,5040,2022-01-31
4860,5274,4860,5148,2,5148,2022-02-01
5162.39990234375,5400,4896,5400,10,5400,2022-02-02
5220,5436,5220,5256,10,5256,2022-02-03
5508,5508,5328,5400,2,5400,2022-02-04
5400,5544,5148,5328,2,5328,2022-02-07
5144.39990234375,5292,5076,5220,1,5220,2022-02-08
5436,5652,5317.2001953125,5400,2,5400,2022-02-09
5328,5482.7998046875,5256,5472,10,5472,2022-02-10
5472,5544,5364,5400,3,5400,2022-02-11
5400,5508,5328,5508,3,5508,2022-02-14
5580,5580,5400,5436,3,5436,2022-02-15
5184,5400,4716,5389.2001953125,5,5389.2001953125,2022-02-16
4896,5220,4896,5220,1,5220,2022-02-17
5148,5184,4788,4788,2,4788,2022-02-18
5486.39990234375,5486.39990234375,4788,4860,2,4860,2022-02-22
4755.60009765625,4863.60009765625,4680,4752,2,4752,2022-02-23
4248,4752,4212,4500,4,4500,2022-02-24
4680,4824,4644,4788,2,4788,2022-02-25
4359.60009765625,4932,4359.60009765625,4428,2,4428,2022-02-28
4680,4824,4464,4680,2,4680,2022-03-01
4680,4788,4572,4752,5,4752,2022-03-02
4716,4788,4608,4788,5,4788,2022-03-03
4644,4752,4608,4716,2,4716,2022-03-04
4608,4633.2001953125,4219.2001953125,4629.60009765625,2,4629.60009765625,2022-03-07
4428,4597.2001953125,4356,4597.2001953125,1,4597.2001953125,2022-03-08
4680,4680,4176,4608,10,4608,2022-03-09
4608,4608,4114.7998046875,4478.39990234375,8,4478.39990234375,2022-03-10
4176,4680,3564,3913.19995117188,22,3913.19995117188,2022-03-11
3996,3996,3636,3708,4,3708,2022-03-14
3780,3780,3528,3672,9,3672,2022-03-15
3960,4068,3783.60009765625,4032,16,4032,2022-03-16
3924,4194,3924,4104,4,4104,2022-03-17
4572,4777.2001953125,4140,4680,102,4680,2022-03-18
4572,4680,4536,4680,14,4680,2022-03-21
4644,4896,4644,4896,12,4896,2022-03-22
4896,4896,4716,4896,6,4896,2022-03-23
4896,4896,4777.2001953125,4788,3,4788,2022-03-24
4716,4788,4572,4665.60009765625,5,4665.60009765625,2022-03-25
4500,4680,4399.2001953125,4608,16,4608,2022-03-28
4608,4860,4532.39990234375,4860,9,4860,2022-03-29
4932,5140.7998046875,4701.60009765625,4845.60009765625,30,4845.60009765625,2022-03-30
4788,4788,4489.2001953125,4554,8,4554,2022-03-31
4428,4572,4356,4478.39990234375,4,4478.39990234375,2022-04-01
4464,4464,4370.39990234375,4464,1,4464,2022-04-04
4644,4752,3672,4248,28,4248,2022-04-05
4248,4464,4082.39990234375,4428,6,4428,2022-04-06
4287.60009765625,4392,4143.60009765625,4363.2001953125,2,4363.2001953125,2022-04-07
4284,4356,4284,4320,3,4320,2022-04-08
4176,4248,4176,4212,2,4212,2022-04-11
4392,4392,4237.2001953125,4356,2,4356,2022-04-12
4341.60009765625,4644,4104,4154.39990234375,10,4154.39990234375,2022-04-13
4176,4428,3960,4032,7,4032,2022-04-14
3924,4500,3816,4140,142,4140,2022-04-18
4248,4428,4186.7998046875,4406.39990234375,1,4406.39990234375,2022-04-19
4399.2001953125,4428,4284,4381.2001953125,6,4381.2001953125,2022-04-20
4500,4500,4320,4446,4,4446,2022-04-21
4428,4500,4320,4392,5,4392,2022-04-22
4248,4392,3960,4356,3,4356,2022-04-25
4068,4320,4068,4248,1,4248,2022-04-26
4284,4392,4212,4269.60009765625,3,4269.60009765625,2022-04-27
4370.39990234375,4370.39990234375,4266,4287.60009765625,1,4287.60009765625,2022-04-28
4320,4392,4284,4284,4,4284,2022-04-29
4104,4320,4104,4176,1,4176,2022-05-02
4176,4428,4176,4392,2,4392,2022-05-03
4312.7998046875,4381.2001953125,4212,4381.2001953125,2,4381.2001953125,2022-05-04
4320,4356,4165.2001953125,4165.2001953125,2,4165.2001953125,2022-05-05
4176,4237.2001953125,3996,4075.19995117188,4,4075.19995117188,2022-05-06
4233.60009765625,4233.60009765625,3600,3780,4,3780,2022-05-09
3600,3934.80004882812,3600,3934.80004882812,8,3934.80004882812,2022-05-10
3895.19995117188,4392,3888,3916.80004882812,7,3916.80004882812,2022-05-11
3744,4168.7998046875,3744,3924,4,3924,2022-05-12
3852,3960,3780,3924,2,3924,2022-05-13
3765.60009765625,3949.19995117188,3765.60009765625,3949.19995117188,1,3949.19995117188,2022-05-16
3672,3776.39990234375,3531.60009765625,3672,16,3672,2022-05-17
3664.80004882812,4644,3592.80004882812,4032,506,4032,2022-05-18
4176,4464,3780,3816,96,3816,2022-05-19
4068,4068,3790.80004882812,4032,6,4032,2022-05-20
3924,4176,3888,3924,23,3924,2022-05-23
3924,3992.39990234375,3744,3837.60009765625,62,3837.60009765625,2022-05-24
3686.39990234375,3834,3456,3646.80004882812,10,3646.80004882812,2022-05-25
3844.80004882812,3852,3636,3708,1,3708,2022-05-26
3600,3708,3240,3312,50,3312,2022-05-27
3420,3960,3312,3960,268,3960,2022-05-31
3780,4464,3430.80004882812,3600,193,3600,2022-06-01
3459.60009765625,3672,3459.60009765625,3592.80004882812,4,3592.80004882812,2022-06-02
3628.80004882812,3636,3456,3495.60009765625,4,3495.60009765625,2022-06-03
3456,3600,3420,3589.19995117188,9,3589.19995117188,2022-06-06
3528,3600,3427.19995117188,3528,2,3528,2022-06-07
3600,3636,3456,3564,9,3564,2022-06-08
3528,3636,3528,3600,5,3600,2022-06-09
3538.80004882812,3708,3528,3600,11,3600,2022-06-10
3600,3600,3391.19995117188,3510,10,3510,2022-06-13
3600,3924,3279.60009765625,3589.19995117188,24,3589.19995117188,2022-06-14
3744,3744,3312,3571.19995117188,5,3571.19995117188,2022-06-15
3564,3564,3240,3470.39990234375,8,3470.39990234375,2022-06-16
3243.60009765625,3438,3240,3330,2,3330,2022-06-17
3330,3596.39990234375,3330,3582,3,3582,2022-06-21
3340.80004882812,3567.60009765625,3340.80004882812,3567.60009765625,0,3567.60009765625,2022-06-22
3315.60009765625,3574.80004882812,3315.60009765625,3528,3,3528,2022-06-23
3420,3420,2124,2372.39990234375,319,2372.39990234375,2022-06-24
2232,2412,1980,2311.19995117188,52,2311.19995117188,2022-06-27
2232,2437.19995117188,2232,2343.60009765625,26,2343.60009765625,2022-06-28
2304,2412,2232,2376,10,2376,2022-06-29
2376,2376,2210.39990234375,2260.80004882812,12,2260.80004882812,2022-06-30
2376,2376,2206.80004882812,2365.19995117188,3,2365.19995117188,2022-07-01
2340,2340,2170.80004882812,2203.19995117188,9,2203.19995117188,2022-07-05
2242.80004882812,2268,2196,2232,3,2232,2022-07-06
2196,2196,2052,2196,22,2196,2022-07-07
2232,2268,2062.80004882812,2232,6,2232,2022-07-08
2152.80004882812,2232,2062.80004882812,2214,4,2214,2022-07-11
2196,2196,2070,2196,7,2196,2022-07-12
2062.80004882812,2224.80004882812,2019.59997558594,2224.80004882812,7,2224.80004882812,2022-07-13
2062.80004882812,2185.19995117188,2062.80004882812,2124,5,2124,2022-07-14
2066.39990234375,2185.19995117188,2062.80004882812,2185.19995117188,2,2185.19995117188,2022-07-15
2088,2192.39990234375,2088,2124,2,2124,2022-07-18
2142,2160,2066.39990234375,2088,7,2088,2022-07-19
2052,2196,2052,2149.19995117188,6,2149.19995117188,2022-07-20
2124,2232,2124,2142,3,2142,2022-07-21
2160,2160,2142,2149.19995117188,2,2149.19995117188,2022-07-22
2149.19995117188,2268,2149.19995117188,2250,12,2250,2022-07-25
2235.60009765625,2235.60009765625,2167.19995117188,2199.60009765625,5,2199.60009765625,2022-07-26
2199.60009765625,2268,2142,2268,16,2268,2022-07-27
2264.39990234375,2300.39990234375,2199.60009765625,2293.19995117188,11,2293.19995117188,2022-07-28
2293.19995117188,2293.19995117188,2178,2282.39990234375,1,2282.39990234375,2022-07-29
2386.80004882812,2386.80004882812,2160,2221.19995117188,8,2221.19995117188,2022-08-01
2221.19995117188,2412,2196,2304,20,2304,2022-08-02
2336.39990234375,2368.80004882812,2304,2358,20,2358,2022-08-03
2322,2520,2304,2368.80004882812,34,2368.80004882812,2022-08-04
2556,2556,2368.80004882812,2376,7,2376,2022-08-05
2437.19995117188,2437.19995117188,2307.60009765625,2340,9,2340,2022-08-08
2304,2426.39990234375,2235.60009765625,2376,10,2376,2022-08-09
2376,2376,2232,2358,3,2358,2022-08-10
2376,2376,2268,2365.19995117188,3,2365.19995117188,2022-08-11
2286,2329.19995117188,2232,2304,21,2304,2022-08-12
2340,2376,2260.80004882812,2300.39990234375,29,2300.39990234375,2022-08-15
2214,2268,2113.19995117188,2268,16,2268,2022-08-16
2160,2268,2160,2232,4,2232,2022-08-17
2232,2232,2088,2178,14,2178,2022-08-18
2268,2268,2088,2196,14,2196,2022-08-19
2160,2160,2088,2160,3,2160,2022-08-22
2088,2088,1944,2037.59997558594,25,2037.59997558594,2022-08-23
2052,2113.19995117188,2048.39990234375,2052,7,2052,2022-08-24
2016,2016,1980,1998,9,1998,2022-08-25
2016,2044.80004882812,2016,2034,4,2034,2022-08-26
1980,2016,1944,1972.80004882812,8,1972.80004882812,2022-08-29
1980,1980,1800,1800,10,1800,2022-08-30
1800,1854,1800,1836,4,1836,2022-08-31
1933.19995117188,1933.19995117188,1836,1893.59997558594,2,1893.59997558594,2022-09-01
1893.59997558594,1980,1872,1980,6,1980,2022-09-02
1944,2124,1908,1944,22,1944,2022-09-06
1944,2088,1908,2088,4,2088,2022-09-07
2088,2196,2016,2088,10,2088,2022-09-08
2026.80004882812,2314.80004882812,1980,1980,89,1980,2022-09-09
2034,2034,1980,2016,7,2016,2022-09-12
1958.40002441406,2041.19995117188,1908,1980,2,1980,2022-09-13
1922.40002441406,2232,1922.40002441406,2124,16,2124,2022-09-14
2113.19995117188,2372.39990234375,2113.19995117188,2268,13,2268,2022-09-15
2358,2358,2232,2304,7,2304,2022-09-16
2170.80004882812,2268,2160,2268,3,2268,2022-09-19
2340,2412,2160,2268,9,2268,2022-09-20
2232,2340,2156.39990234375,2170.80004882812,13,2170.80004882812,2022-09-21
2160,2196,2124,2196,16,2196,2022-09-22
2196,2304,2088,2088,5,2088,2022-09-23
2196,2196,2048.39990234375,2048.39990234375,1,2048.39990234375,2022-09-26
2160,2160,1980,2070,4,2070,2022-09-27
2088,2088,1990.80004882812,2005.19995117188,5,2005.19995117188,2022-09-28
1944,2095.19995117188,1911.59997558594,2088,3,2088,2022-09-29
1980,2088,1980,2034,3,2034,2022-09-30
2088,2088,1980,2016,3,2016,2022-10-03
2016,2304,1980,2142,12,2142,2022-10-04
2196,2196,2052,2106,5,2106,2022-10-05
2268,2340,2178,2304,15,2304,2022-10-06
2304,2509.19995117188,2304,2509.19995117188,21,2509.19995117188,2022-10-07
2556,3362.39990234375,2556,3060,104,3060,2022-10-10
3139.19995117188,3312,3027.60009765625,3276,26,3276,2022-10-11
3348,3384,3060,3060,19,3060,2022-10-12
3060,3186,2988,2988,8,2988,2022-10-13
3110.39990234375,3211.19995117188,2988,3168,9,3168,2022-10-14
3096,3200.39990234375,3063.60009765625,3117.60009765625,1,3117.60009765625,2022-10-17
3070.80004882812,3384,3060,3294,28,3294,2022-10-18
3348,3780,3290.39990234375,3780,34,3780,2022-10-19
3780,3924,3603.60009765625,3780,12,3780,2022-10-20
3672,3816,3600,3639.60009765625,18,3639.60009765625,2022-10-21
3672,3672,3495.60009765625,3546,6,3546,2022-10-24
3672,3780,3420,3492,83,3492,2022-10-25
3564,3744,3312,3582,2,3582,2022-10-26
3740.39990234375,3780,3164.39990234375,3636,24,3636,2022-10-27
3636,3880.80004882812,3528,3780,10,3780,2022-10-28
3672,3960,3672,3906,25,3906,2022-10-31
3960,4032,3780,4024.80004882812,12,4024.80004882812,2022-11-01
4032,4158,3852,4104,13,4104,2022-11-02
4104,4176,3981.60009765625,3981.60009765625,6,3981.60009765625,2022-11-03
4068,4140,3924,4104,6,4104,2022-11-04
4140,4356,4140,4284,10,4284,2022-11-07
4392,4572,4248,4356,10,4356,2022-11-08
4320,4356,3960,3985.19995117188,7,3985.19995117188,2022-11-09
4068,4356,4068,4248,17,4248,2022-11-10
4356,4575.60009765625,4356,4572,13,4572,2022-11-11
4500,4680,4212,4680,53,4680,2022-11-14
4644,4644,4435.2001953125,4464,3,4464,2022-11-15
4356,4860,4140,4806,33,4806,2022-11-16
4716,4968,4410,4860,34,4860,2022-11-17
5040,5256,4428,5220,47,5220,2022-11-18
5256,5256,4896,5184,20,5184,2022-11-21
5184,5580,4284,5364,127,5364,2022-11-22
5580,5580,5184,5400,81,5400,2022-11-23
5472,5508,5148,5472,74,5472,2022-11-25
5544,5796,5328,5742,57,5742,2022-11-28
5760,6552,5760,6336,125,6336,2022-11-29
6156,6552,6120,6516,62,6516,2022-11-30
6516,6768,6336,6462,84,6462,2022-12-01
6156,6372,5760,6264,200,6264,2022-12-02
6372,6372,5781.60009765625,5904,9,5904,2022-12-05
6012,6300,5580,5886,15,5886,2022-12-06
5868,6012,5292,5940,36,5940,2022-12-07
5940,5976,5724,5724,6,5724,2022-12-08
5760,5832,5580,5760,15,5760,2022-12-09
5544,6192,5544,6084,9,6084,2022-12-12
6156,6228,6048,6228,8,6228,2022-12-13
6228,6228,6012,6084,4,6084,2022-12-14
6098.39990234375,6120,4356,5796,33,5796,2022-12-15
5652,6228,5558.39990234375,6156,7,6156,2022-12-16
6156,6156,5166,5724,15,5724,2022-12-19
5616,5904,5220,5724,34,5724,2022-12-20
5292,5904,5292,5796,5,5796,2022-12-21
5724,6019.2001953125,5724,5832,3,5832,2022-12-22
5976,5976,5796,5796,2,5796,2022-12-23
5796,5976,5580,5796,10,5796,2022-12-27
5796,6048,5796,5868,28,5868,2022-12-28
5893.2001953125,5976,5832,5904,5,5904,2022-12-29
5688,5968.7998046875,5220,5220,8,5220,2022-12-30
5256,5796,5076,5716.7998046875,4,5716.7998046875,2023-01-03
5508,6084,5148,5940,115,5940,2023-01-04
6012,6044.39990234375,5688,5864.39990234375,11,5864.39990234375,2023-01-05
5940,6192,5824.7998046875,6069.60009765625,9,6069.60009765625,2023-01-06
6300,7488,5202,5400,826,5400,2023-01-09
5364,5976,5148,5148,13,5148,2023-01-10
5544,6084,4323.60009765625,4356,860,4356,2023-01-11
4464,4608,3254.39990234375,3254.39990234375,453,3254.39990234375,2023-01-12
3366,3492,3254.39990234375,3348,23,3348,2023-01-13
3546,4176,3348,4176,33,4176,2023-01-17
3996,6084,2448,3312,1197,3312,2023-01-18
3312,3384,2736,2880,83,2880,2023-01-19
2952,3132,2952,3060,19,3060,2023-01-20
2970,3168,2952,3060,21,3060,2023-01-23
3060,3096,2703.60009765625,2937.60009765625,21,2937.60009765625,2023-01-24
